Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
06/29/2018,WW-8107,,ไม้กวาดดอกหญ้า,6  อัน,4,, 435.18 ,,ธารทอง สุวรรณ,
06/29/2018,WW-8107,,ไม้กวาดทางมะพร้าว,6  อัน,6,, 353.58 ,,ธารทอง สุวรรณ,
06/29/2018,WW-8109,,สีสเปร์ย  TOA  สีดำ,6  โหล,6,," 4,140.00 ",,ธารทอง สุวรรณ,
06/29/2018,WW-8109,,เศษผ้า  อย่างดี  ,1  แพ็ค,1,, 500.00 ,,ธารทอง สุวรรณ,
06/29/2018,WW-8109,,ถุงใส (HD)  ขนาด 12x20'',20  โล,20,," 1,900.00 ",,ธารทอง สุวรรณ,
06/29/2018,WW-8109,,ถุงขยะดำหนา  36 x 45'',20  โล,20,, 900.00 ,,ธารทอง สุวรรณ,
07/02/2018,WW-8110,,ป้ายเซฟตี้ สวมถุงมือ,3  ชิ้น,3,, 144.00 ,,Hardearehouse,
07/02/2018,WW-8110,,แอโรเฟล็กซ์แผ่น,1  ชิ้น,1,, 738.00 ,,Hardearehouse,
07/02/2018,WW-8110,,กาว แอโรเฟล็กซ์,2  กป,2,, 310.00 ,,Hardearehouse,
07/02/2018,WW-8110,,ถังน้ำชูเกอร์,1  ใบ,1,, 149.00 ,,Hardearehouse,
07/02/2018,WW-8110,,สันรูด ,30  ชิ้น,30,, 198.00 ,,Hardearehouse,
07/02/2018,WW-8110,,กระบวยตักน้ำด้ามยาว,1  ชิ้น,1,, 582.00 ,,Hardearehouse,
07/06/2018,WW-8111,,TC ปกพลาสติกใส,12  อัน,12,, 420.00 ,,Hardearehouse,
07/05/2018,WW-8113,,ขนมปัง,75  ชิ้น,75,," 1,125.00 ",,,
07/05/2018,WW-8113,,ลูกอม,4  ถุง,4,, 176.50 ,,,
07/05/2018,WW-8113,,น้ำผลไม้,42  ขวด,42,, 540.00 ,,,
07/05/2018,WW-8113,,ARO สแน๊คบ็อกลาย,24  ชิ้น,24,, 417.00 ,,,
07/19/2018,WW-8116,,ค่าบริการล้างทำความสะอาดถัง,2376 ใบ,2376,," 7,128.00 ",,K.S.WASTE,
07/19/2018,WW-8116,,ค่าบริการล้างทำความสะอาด Bulk  E,6 ใบ,6,, 600.00 ,,K.S.WASTE,
07/21/2018,WW-8117,,สก๊อตซ์ไบรต์น้ำยาดักฝุ่น,1  ชิ้น,1,, 115.00 ,,Hardearehouse,
07/21/2018,WW-8117,,พรมดักฝุ่น,2  ชิ้น,2,," 1,328.00 ",,,
07/21/2018,WW-8117,,3 M ม็อบดันฝุ่น,1  ชิ้น,1,, 420.00 ,,,
07/21/2018,WW-8117,,ผ้าเช็ด,1  ชิ้น,1,, 95.00 ,,,
07/25/2018,WW-8118,,หมึก  EPSON 664 (Y),5  ขวด,5,," 1,000.00 ",,เมโทรซิสเต็ม,
07/25/2018,WW-8118,,หมึก  EPSON 664 (C),3  ขวด,3,, 600.00 ,,เมโทรซิสเต็ม,
07/25/2018,WW-8118,,หมึก EPSON  664  (M),3  ขวด,3,, 600.00 ,,เมโทรซิสเต็ม,
07/25/2018,WW-8118,,หมึก EPSON  664  (BK),5  ขวด,5,," 1,000.00 ",,เมโทรซิสเต็ม,
07/25/2018,WW-8118,,EPSON GJIC (K),4  กล่อง,4,," 9,600.00 ",,เมโทรซิสเต็ม,
07/25/2018,WW-8118,,EPSON GJIC (C),2  กล่อง,2,," 1,600.00 ",,เมโทรซิสเต็ม,
07/25/2018,WW-8118,,EPSON GJIC (Y),2  กล่อง,2,," 1,600.00 ",,เมโทรซิสเต็ม,
07/25/2018,WW-8118,,EPSON GKIC (M),2  กล่อง,2,," 1,600.00 ",,เมโทรซิสเต็ม,
07/25/2018,WW-8119,,โอริง,300 เส้น,300,," 3,000.00 ",,ธารทอง สุวรรณ,
07/25/2018,WW-8119,,น้ำยาประสานท่อ PVC,2  โหล,2,," 3,240.00 ",,ธารทอง สุวรรณ,
07/25/2018,WW-8119,,รองเท้าบู้ท   เบอร์  12,3  คู่,3,, 390.00 ,,ธารทอง สุวรรณ,
07/25/2018,WW-8119,,เศษผ้า,2 แพ็ค,2,," 1,000.00 ",,ธารทอง สุวรรณ,
08/01/2018,WW-8120,,STK.ขาวด้าน  ตัด A4,1000  ใบ,1000,," 1,200.00 ",,Siam Sticker Trading,
07/25/2018,WW-8121,,ถังปั่น   SUPREME MOP น้ำเงิน,1  ชุด,1,," 1,588.79 ",,OfficeMate,
